	HG38.seqnames	HG38.start	HG38.end	HG38.strand
0	chr1	180299713	180299714	-
1	chr15	36271189	36271190	-
2	chr7	27147488	27147489	+
3	chr4	113258089	113258090	+
4	chr12	113561257	113561258	-
5	chr6	157928667	157928668	+
6	chr1	54273238	54273239	-
7	chr10	100614211	100614212	-
8	chr4	182601102	182601103	+
9	chr17	13462882	13462883	-
10	chr1	231209213	231209214	+
11	chr8	22784673	22784674	-
12	chr12	3931901	3931902	+
13	chr1	41383526	41383575	-
14	chr22	35749962	35750011	-
15	chr11	116703619	116703620	-
16	chr22	27003635	27003636	+
17	chr7	27143750	27143751	+
18	chr11	114163966	114163967	+
19	chr5	77847767	77847768	-
20	chr17	48623062	48623063	-
21	chr2	47521462	47521463	-
22	chr20	20463987	20463988	-
23	chr1	46497885	46497886	+
24	chr4	79211658	79211659	+
25	chr7	27103129	27103130	-
26	chr17	61401709	61401710	+
27	chr3	69888568	69888569	+
28	chr14	33576468	33576469	+
29	chr2	41966613	41966614	-
30	chr2	198351442	198351443	+
31	chr12	54002570	54002571	+
32	chr12	57581020	57581021	+
33	chr17	81342286	81342287	-
34	chr1	217225964	217225965	-
35	chr2	159185846	159185847	+
36	chr15	97401298	97401299	-
37	chr11	30536171	30536172	-
38	chr4	13529378	13529379	-
39	chr16	89044653	89044654	-
40	chr10	100788047	100788048	+
41	chr16	11676636	11676637	+
42	chr15	70104476	70104477	-
43	chr12	109759543	109759544	+
44	chr11	64061200	64061201	+
45	chr15	36926619	36926620	-
46	chr1	22824782	22824783	+
47	chr11	72615081	72615082	-
48	chr2	147451388	147451389	-
49	chr14	99215300	99215301	-
50	chr2	173250337	173250338	-
51	chr19	41933339	41933340	+
52	chr5	176859909	176859910	+
53	chr16	79336923	79336924	+
54	chr16	54543200	54543201	-
55	chr11	122097786	122097787	-
56	chr5	88397268	88397269	+
57	chr3	148083754	148083755	+
58	chr20	53141417	53141418	+
59	chr12	54054050	54054051	+
60	chr11	73407558	73407559	-
61	chr9	37324280	37324329	-
62	chr18	38445135	38445136	-
63	chr18	25147552	25147553	-
64	chr7	27103089	27103090	-
65	chr15	72306422	72306423	-
66	chr4	79364244	79364245	-
67	chr2	163990683	163990684	-
68	chr6	50936364	50936365	-
69	chr18	32868544	32868545	+
70	chr12	54054037	54054038	+
71	chr3	182261167	182261168	-
72	chr2	199310160	199310161	-
73	chr9	134331332	134331333	+
74	chr1	41390403	41390452	+
75	chr2	176149054	176149055	+
76	chr20	19975020	19975021	+
77	chr2	69584243	69584244	-
78	chr17	73537281	73537282	-
79	chr12	58915724	58915725	-
80	chr2	144504618	144504619	-
81	chr1	46455961	46455962	+
82	chr12	116883261	116883262	-
83	chr21	16605821	16605870	-
84	chr9	79357433	79357434	+
85	chr17	61157780	61157781	+
86	chr19	31337212	31337213	-
87	chr9	37034169	37034170	-
88	chr5	171667933	171667934	-
89	chr17	67515134	67515135	+
90	chr17	43696638	43696639	+
91	chr2	71560697	71560698	+
92	chr4	79364217	79364218	-
93	chr6	97461357	97461358	+
94	chr1	113940716	113940717	+
95	chr7	7971263	7971264	+
96	chr22	37805683	37805684	+
97	chr2	57869906	57869907	+
98	chr14	93926510	93926559	-
99	chr10	11329003	11329004	+
100	chr14	78345348	78345349	+
101	chr7	42152704	42152705	-
102	chr18	47594485	47594486	+
103	chr5	88833562	88833563	-
104	chr10	78357574	78357575	+
105	chr16	72854766	72854767	-
106	chr17	50591481	50591482	+
107	chr17	40093195	40093196	+
108	chr7	18495609	18495610	+
109	chr17	7441805	7441854	-
110	chr18	56038437	56038438	+
111	chr7	18495249	18495298	-
112	chr12	54005406	54005407	+
113	chr5	93606031	93606032	+
114	chr1	35566710	35566711	+
115	chr12	51812448	51812449	+
116	chr17	64501369	64501370	-
117	chr14	41891370	41891371	+
118	chr2	63045413	63045414	+
119	chr2	57869862	57869863	+
120	chr2	60316540	60316541	-
121	chr1	221394233	221394234	-
122	chr3	114565170	114565171	-
123	chr2	118850225	118850226	-
124	chr9	128226037	128226038	+
125	chr7	114432981	114432982	+
126	chr14	68790123	68790124	-
127	chr21	15421719	15421720	-
128	chr4	128831800	128831801	+
129	chr10	101217078	101217079	-
130	chr1	47510375	47510376	-
131	chr16	73716833	73716834	-
132	chr7	50293982	50293983	+
133	chr7	157684145	157684146	-
134	chr17	48600574	48600575	-
135	chr9	37337494	37337495	+
136	chr7	27103063	27103064	-
137	chr17	57476142	57476143	+
138	chr22	35749990	35750039	+
139	chr9	14316957	14316958	-
140	chr1	27527286	27527287	+
141	chr12	111057886	111057887	+
142	chr16	56858558	56858559	+
143	chr5	15927894	15927895	+
144	chr2	156328968	156328969	-
145	chr14	89494273	89494274	-
146	chr18	76145805	76145806	+
147	chr5	68290681	68290682	+
148	chr19	30871010	30871011	+
149	chr14	68790116	68790117	-
150	chr3	114565387	114565388	-
151	chr1	38213597	38213598	-
152	chr2	156330169	156330170	-
153	chr12	54029048	54029049	+
154	chr7	39291826	39291827	+
155	chr7	18495640	18495641	+
156	chr9	87639396	87639397	+
157	chr2	66572115	66572116	+
158	chr2	145669043	145669044	+
159	chr9	37251705	37251706	+
160	chr4	41784861	41784862	+
161	chr17	56185735	56185736	+
162	chr11	72615079	72615080	-
163	chr12	54030556	54030557	+
164	chr10	75405242	75405243	+
165	chr4	30920169	30920218	-
166	chr5	92147309	92147310	+
167	chr17	56578062	56578063	+
168	chr9	19597316	19597317	-
